Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecadacao_Total;Ganhadores_15_N��meros;Cidade;;Ganhadores_14_Números;Ganhadores_13_Números;Ganhadores_12_Números;Ganhadores_11_Números;Valor_Rateio_15_Números;Valor_Rateio_14_N��meros;Valor_Rateio_13_Números;Valor_Rateio_12_Números;Valor_Rateio_11_Números;Acumulado_15_Números;Estimativa_Premio;Valor_Acumulado_Especial
2152;06/02/2021;2;3;4;6;10;11;12;13;15;16;17;18;20;23;25;16.005.467,50;1;SAO PAULO;SP;187;8004;107594;582021;1.194.465,72;1.339,32;25;10;5;0;1.500.000,00;43.617.832,53
2153;08/02/2021;1;2;4;7;8;9;10;11;13;14;15;17;18;20;21;20.176.147,50;1;ORIXIMINA;PA;339;12050;142525;741117;1.438.395,33;1.270,96;25;10;5;0;1.500.000,00;43.965.831,40
2154;09/02/2021;3;4;5;7;8;10;11;12;16;18;19;20;21;23;24;17.904.417,50;2;CANAL ELETRONICO;--;296;9517;109908;601670;741.317,57;1.500,36;25;10;5;0;1.500.000,00;44.324.533,47
;;;;;;;;;;;;;;;;;;;SAO PAULO;SP;;;;;;;;;;;;
2155;10/02/2021;1;2;3;4;6;9;13;14;15;17;18;19;20;21;22;19.231.997,50;2;POCOS DE CALDAS;MG;238;9595;112715;624878;834.507,34;1.470,40;25;10;5;0;1.500.000,00;44.728.327,35
;;;;;;;;;;;;;;;;;;;SAO GONCALO;RJ;;;;;;;;;;;;
2156;11/02/2021;4;5;6;7;8;10;12;13;14;17;18;19;20;21;23;16.693.637,50;2;BRASILIA;DF;282;9578;111402;592347;633.962,65;1.346,78;25;10;5;0;1.500.000,00;45.035.083,48
;;;;;;;;;;;;;;;;;;;SAO PAULO;SP;;;;;;;;;;;;
2157;12/02/2021;2;4;5;6;12;13;14;16;17;18;19;21;22;24;25;20.253.860,00;1;CANAL ELETRONICO;--;192;8100;112419;653546;1.816.562,69;1.983,81;25;10;5;0;1.500.000,00;45.474.574,45
2158;13/02/2021;3;5;7;8;9;12;14;17;18;19;20;21;23;24;25;15.539.930,00;1;MERUOCA;CE;359;12507;131440;636396;836.537,02;697,98;25;10;5;0;1.500.000,00;45.676.962,45
2159;17/02/2021;1;2;4;5;7;12;13;14;16;18;20;21;22;24;25;24.932.732,50;0;;;402;13137;167972;855159;0;1.463,11;25;10;5;4.142.012,19;7.000.000,00;46.152.024,41
2160;18/02/2021;2;4;5;6;8;11;12;14;15;16;18;19;21;24;25;32.306.975,00;6;CANAL ELETRONICO;--;808;20992;222315;1059739;1.190.843,37;958,65;25;10;5;0;1.500.000,00;46.777.659,43
;;;;;;;;;;;;;;;;;;;UNAI;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ARAPONGAS;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ARAGUAINA;TO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PALMAS;TO;;;;;;;;;;;;
2161;19/02/2021;1;2;3;5;6;7;9;13;14;15;18;19;22;24;25;18.890.222,50;1;SAO JERONIMO DA SERRA;PR;361;11445;136557;692969;1.333.409,21;1.106,39;25;10;5;0;1.500.000,00;47.100.258,45
2162;20/02/2021;1;2;3;5;6;8;10;12;14;15;16;17;19;21;22;14.856.290,00;2;CAMPINA GRANDE;PB;257;8142;89750;469973;648.675,22;1.512,09;25;10;5;0;1.500.000,00;47.414.133,55
;;;;;;;;;;;;;;;;;;;SAO PAULO;SP;;;;;;;;;;;;
2163;22/02/2021;1;2;4;6;10;11;12;13;16;18;19;20;21;23;25;17.941.032,50;4;BRASILIA;DF;357;11151;128438;639925;327.090,35;1.097,77;25;10;5;0;1.500.000,00;47.730.672,62
;;;;;;;;;;;;;;;;;;;IBIRITE;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SERRANOPOLIS DO IGUACU;PR;;;;;;;;;;;;
2164;23/02/2021;2;3;8;10;11;13;14;15;16;17;19;20;21;24;25;15.319.152,50;2;MANAUS;AM;182;7250;95388;527793;622.086,40;1.433,38;25;10;5;0;1.500.000,00;48.031.682,17
;;;;;;;;;;;;;;;;;;;BELO HORIZONTE;MG;;;;;;;;;;;;
2165;24/02/2021;1;3;5;6;8;13;14;15;16;17;18;20;21;22;23;16.619.020,00;2;GOIANIA;GO;237;8710;121209;569693;634.950,72;1.605,00;25;10;5;0;1.500.000,00;48.338.916,40
;;;;;;;;;;;;;;;;;;;GOIOERE;PR;;;;;;;;;;;;
2166;25/02/2021;2;3;4;6;9;10;11;12;13;14;15;18;20;21;24;14.675.725,00;2;CANAL ELETRONICO;--;203;6944;92764;531242;565.171,46;1.667,89;25;10;5;0;1.500.000,00;48.612.386,47
;;;;;;;;;;;;;;;;;;;BARUERI;SP;;;;;;;;;;;;
2167;26/02/2021;2;3;4;6;7;9;11;12;14;16;17;18;19;20;23;17.450.982,50;1;TURVO;SC;273;10249;108640;592743;1.414.258,84;1.551,74;25;10;5;0;1.500.000,00;48.954.545,88
2168;27/02/2021;1;3;4;6;8;10;11;12;13;14;16;17;21;23;25;13.354.940,00;1;GOIANIA;GO;301;8679;90721;468221;1.008.649,20;1.003,75;25;10;5;0;1.500.000,00;49.198.573,92
2169;01/03/2021;1;2;4;5;8;10;11;12;13;16;20;22;23;24;25;17.091.002,50;2;CANAL ELETRONICO;--;223;9788;123153;625369;608.874,78;1.635,71;25;10;5;1.810.354,13;3.500.000,00;49.493.190,77
;;;;;;;;;;;;;;;;;;;ILHEUS;BA;;;;;;;;;;;;
2170;02/03/2021;1;6;7;9;10;11;13;17;18;19;21;22;23;24;25;22.740.802,50;0;;;252;10400;138905;775131;0;1.564,85;25;10;5;3.994.404,30;7.000.000,00;49.948.201,22
2171;03/03/2021;1;4;9;10;11;13;15;17;18;19;21;22;23;24;25;33.906.630,00;7;CANAL ELETRONICO;--;667;28682;248860;1236378;899.910,20;1.035,12;25;10;5;0;1.500.000,00;50.505.854,56
;;;;;;;;;;;;;;;;;;;TEIXEIRA DE FREITAS;BA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;BRASILIA;DF;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CUIABA;MT;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;VARZEA GRANDE;MT;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PEDERNEIRAS;SP;;;;;;;;;;;;
2172;04/03/2021;6;8;9;10;11;13;14;15;16;17;19;20;22;23;25;16.502.942,50;3;VICOSA;MG;211;7363;101934;552588;461.149,68;1.374,78;25;10;5;0;1.500.000,00;50.840.559,98
;;;;;;;;;;;;;;;;;;;RIO DE JANEIRO;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ENCANTADO;RS;;;;;;;;;;;;
2173;05/03/2021;1;2;3;9;11;12;13;15;16;18;19;20;21;22;25;19.785.675,00;0;;;178;8217;117819;676509;0;1.948,29;25;10;5;1.653.943,67;3.500.000,00;51.240.707,65
2174;06/03/2021;1;2;3;5;6;7;8;11;13;14;15;16;21;24;25;18.605.812,50;1;COXIM;MS;198;7555;102685;644857;3.227.458,28;1.666,32;25;10;5;0;1.500.000,00;51.621.396,67
2175;08/03/2021;1;3;5;7;10;11;12;13;14;15;16;17;19;22;23;18.264.780,00;1;APUCARANA;PR;245;10081;123996;653000;1.371.785,96;1.677,15;25;10;5;0;1.500.000,00;51.953.280,38
2176;09/03/2021;1;2;4;5;7;8;9;11;12;13;16;18;20;21;22;15.962.342,50;1;VARZEA GRANDE;MT;270;8417;102705;542488;1.288.876,05;1.429,88;25;10;5;0;1.500.000,00;52.265.105,23
2177;10/03/2021;1;3;4;7;8;10;12;14;15;16;17;19;20;22;24;17.719.432,50;11;BARREIRAS;BA;578;12656;122313;601828;123.599,41;704,58;25;10;5;0;1.500.000,00;52.594.039,17
;;;;;;;;;;;;;;;;;;;MARACANAU;CE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;NEROPOLIS;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;BELO HORIZONTE;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;GOVERNADOR VALADARES;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PONTA GROSSA;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CANGUARETAMA;RN;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CACADOR;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CAJAMAR;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PONTAL;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ALMAS;TO;;;;;;;;;;;;
2178;11/03/2021;2;5;8;9;11;13;14;15;17;18;19;20;22;23;24;15.344.715,00;2;BRASILIA;DF;284;9501;110961;584398;517.069,54;1.090,72;25;10;5;0;1.500.000,00;52.844.234,12
;;;;;;;;;;;;;;;;;;;CRISTALINA;GO;;;;;;;;;;;;
2179;12/03/2021;3;6;7;8;9;10;13;14;15;16;18;19;20;21;25;18.121.335,00;1;MONGAGUA;SP;253;9121;112953;644411;1.421.779,10;1.683,31;25;10;5;2.160.007,74;4.000.000,00;53.188.212,94
2180;13/03/2021;1;3;6;7;8;9;10;11;13;14;16;18;20;21;24;19.475.895,00;2;MONTES CLAROS;MG;362;11527;142787;693743;1.901.030,07;1.170,01;25;10;5;0;1.500.000,00;53.530.307,20
;;;;;;;;;;;;;;;;;;;SANTA BARBARA D'OESTE;SP;;;;;;;;;;;;
2181;15/03/2021;1;2;3;5;6;9;11;13;14;15;17;18;22;23;25;17.525.030,00;2;PATOS DE MINAS;MG;345;10863;130702;658283;591.778,64;1.027,59;25;10;5;0;1.500.000,00;53.816.651,70
;;;;;;;;;;;;;;;;;;;SAO JOAO DEL REI;MG;;;;;;;;;;;;
2182;16/03/2021;2;3;8;9;10;12;13;14;16;17;19;20;22;23;25;15.030.022,50;2;CANAL ELETRONICO;--;330;10000;111961;561326;507.622,62;921,53;25;10;5;0;1.500.000,00;54.062.275,57
;;;;;;;;;;;;;;;;;;;FORTALEZA;CE;;;;;;;;;;;;
2183;17/03/2021;1;2;4;6;9;11;14;15;16;18;19;20;21;22;25;16.352.775,00;1;MANHUACU;MG;257;8352;99469;518979;1.428.095,65;1.664,47;25;10;5;0;1.500.000,00;54.407.782,59
2184;18/03/2021;5;7;9;10;11;12;14;15;17;19;20;21;22;24;25;13.914.095,00;3;BRASILIA;DF;349;11221;105156;522673;301.819,54;777,13;25;10;5;0;1.500.000,00;54.626.845,17
;;;;;;;;;;;;;;;;;;;RIO DE JANEIRO;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PORTO ALEGRE;RS;;;;;;;;;;;;
2185;19/03/2021;1;3;5;8;9;12;13;14;16;17;18;19;20;21;25;16.749.815,00;3;CANAL ELETRONICO;--;224;9552;115753;626203;395.475,24;1.586,52;25;10;5;0;1.500.000,00;54.913.883,65
;;;;;;;;;;;;;;;;;;;DOURADOS;MS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;AURIFLAMA;SP;;;;;;;;;;;;
2186;20/03/2021;4;6;7;9;12;13;15;16;17;18;19;22;23;24;25;13.668.980,00;0;;;174;7148;87422;476354;0;1.860,95;25;10;5;1.081.012,77;3.000.000,00;55.175.419,01
2187;22/03/2021;3;4;6;7;8;9;10;11;13;15;16;17;21;22;24;23.368.672,50;2;SANTA MARIA DE JETIBA;ES;260;9994;129904;748692;1.590.345,77;1.693,29;25;10;5;0;1.500.000,00;55.683.405,82
;;;;;;;;;;;;;;;;;;;GOIANIA;GO;;;;;;;;;;;;
2188;23/03/2021;1;3;6;8;10;11;14;15;16;17;19;20;23;24;25;14.402.690,00;1;MAIRINQUE;SP;238;8451;99987;522125;1.051.059,51;1.322,82;25;10;5;0;1.500.000,00;55.937.694,42
2189;24/03/2021;1;3;4;5;6;8;10;11;13;14;17;18;19;22;24;15.584.012,50;2;BOA VISTA;RR;961;11251;114691;546932;562.642,90;350,74;25;10;5;1.786.422,46;4.000.000,00;56.209.940,99
;;;;;;;;;;;;;;;;;;;TIETE;SP;;;;;;;;;;;;
2190;25/03/2021;1;2;3;4;5;8;9;11;12;13;14;16;17;23;24;21.449.510,00;2;CURITIBA;PR;285;9755;122941;712692;1.967.138,86;1.360,73;25;10;5;0;1.500.000,00;56.657.410,84
;;;;;;;;;;;;;;;;;;;BLUMENAU;SC;;;;;;;;;;;;
2191;26/03/2021;3;4;5;6;10;11;13;14;15;17;18;19;20;21;23;15.696.800,00;0;;;338;8095;107031;604576;0;964,99;25;10;5;1.088.905,05;3.300.000,00;56.920.855,62
2192;27/03/2021;2;3;4;5;6;7;11;12;14;17;19;21;22;23;25;16.653.047,50;0;;;207;8567;105233;563067;0;1.379,18;25;10;5;2.450.474,18;4.900.000,00;57.250.267,52
2193;29/03/2021;2;4;5;6;7;9;10;11;13;14;19;20;22;23;24;26.288.837,50;3;UBERABA;MG;543;16549;182924;945041;1.457.414,67;1.060,12;25;10;5;0;1.500.000,00;57.715.211,84
;;;;;;;;;;;;;;;;;;;VARZEA GRANDE;MT;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SAO SEBASTIAO;SP;;;;;;;;;;;;
2194;30/03/2021;3;4;5;6;7;8;9;11;13;15;17;19;20;22;25;13.905.157,50;1;PIEDADE DE PONTE NOVA;MG;289;9567;106904;536485;884.164,66;916,4;25;10;5;0;1.500.000,00;57.929.122,65
2195;31/03/2021;2;3;5;7;8;9;11;12;13;16;17;18;20;22;23;15.956.330,00;2;ARARIPINA;PE;447;11147;121832;595838;529.671,84;709,87;25;10;5;0;1.500.000,00;58.185.415,49
;;;;;;;;;;;;;;;;;;;PORTO VELHO;RO;;;;;;;;;;;;
2196;01/04/2021;4;5;6;8;10;11;13;15;17;18;20;21;23;24;25;15.704.642,50;2;GUARATUBA;PR;682;15723;147426;586650;435.600,93;382,63;25;10;5;0;1.500.000,00;58.396.190,14
;;;;;;;;;;;;;;;;;;;VIDEIRA;SC;;;;;;;;;;;;
2197;03/04/2021;1;2;3;4;7;8;10;11;13;14;15;16;17;18;21;13.876.325,00;0;;;165;6918;83879;488138;0;1.413,51;25;10;5;1.112.323,29;3.000.000,00;58.665.300,62
2198;05/04/2021;1;4;5;7;9;11;12;13;15;17;18;20;21;22;23;24.917.787,50;1;IRAI DE MINAS;MG;503;15729;181242;916266;2.854.783,75;1.037,64;25;10;5;0;1.500.000,00;59.086.863,65
2199;06/04/2021;1;2;5;6;7;9;12;14;15;17;18;19;20;23;24;15.853.015,00;3;CANAL ELETRONICO;--;226;8154;98310;537646;433.580,76;1.723,99;25;10;5;1.829.432,27;4.000.000,00;59.401.559,36
;;;;;;;;;;;;;;;;;;;TERESINA;PI;;;;;;;;;;;;
2200;07/04/2021;1;2;4;6;8;9;10;11;13;14;16;17;19;23;25;26.521.377,50;10;CANAL ELETRONICO;--;752;19263;196043;956256;398.339,33;738,81;25;10;5;0;1.500.000,00;59.850.301,24
;;;;;;;;;;;;;;;;;;;FORTALEZA;CE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PARA DE MINAS;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CARUARU;PE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;LAGES;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;COSMOPOLIS;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ILHA SOLTEIRA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;OSASCO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SAO PAULO;SP;;;;;;;;;;;;
2201;08/04/2021;1;3;5;6;7;8;9;10;13;14;16;18;19;21;24;16.504.517,50;0;;;190;9590;107145;568306;0;1.437,79;25;10;5;1.302.858,60;3.500.000,00;60.165.508,97
2202;09/04/2021;1;5;9;10;13;14;15;16;17;18;20;21;22;24;25;25.875.275,00;4;FORTALEZA;CE;317;12026;158598;904329;847.453,91;1.380,40;25;10;5;0;1.500.000,00;60.670.417,93
;;;;;;;;;;;;;;;;;;;SANTA RITA DO SAPUCAI;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;LAPA;PR;;;;;;;;;;;;
2203;10/04/2021;2;3;5;7;10;12;13;14;18;20;21;22;23;24;25;14.900.827,50;1;GUARAPUAVA;PR;284;9762;115925;581895;931.682,43;982,65;25;10;5;0;1.500.000,00;60.895.824,98
2204;12/04/2021;1;2;3;4;5;6;9;11;12;13;16;18;20;23;24;17.972.815,00;1;MANOEL VITORINO;BA;244;7780;108093;611345;1.501.232,17;1.842,94;25;10;5;0;1.500.000,00;61.259.026,32
2205;13/04/2021;1;2;5;6;7;9;10;12;14;17;18;19;22;24;25;16.014.317,50;3;BURITI ALEGRE;GO;345;10205;112995;549340;406.575,78;1.059,00;25;10;5;0;1.500.000,00;61.554.121,65
;;;;;;;;;;;;;;;;;;;IPIRANGA;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;UMUARAMA;PR;;;;;;;;;;;;
2206;14/04/2021;1;2;3;4;6;8;12;13;15;16;17;20;21;23;25;17.462.037,50;2;BELEM;PA;309;11272;121246;609967;656.576,52;1.272,94;25;10;5;0;1.500.000,00;61.871.819,97
;;;;;;;;;;;;;;;;;;;BARAUNA;RN;;;;;;;;;;;;
2207;15/04/2021;3;5;6;7;8;9;10;11;12;13;14;17;20;22;25;15.822.007,50;1;MARACANAU;CE;177;7174;103798;601529;1.143.097,52;1.354,13;25;10;5;0;1.500.000,00;62.148.375,83
2208;16/04/2021;4;5;9;10;11;12;14;15;16;18;19;21;22;23;24;17.986.372,50;4;CANAL ELETRONICO;--;269;8988;106350;592217;384.937,11;1.714,55;25;10;5;0;1.500.000,00;62.520.895,62
;;;;;;;;;;;;;;;;;;;BELO HORIZONTE;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PIRAI;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SAO PAULO;SP;;;;;;;;;;;;
2209;17/04/2021;1;4;5;6;7;9;11;12;14;15;16;17;21;22;23;14.203.335,00;0;;;165;5774;75764;425441;0;1.725,11;25;10;5;3.356.883,36;7.000.000,00;62.849.330,46
2210;19/04/2021;1;3;4;8;9;10;13;14;15;16;17;19;22;23;25;35.404.227,50;4;SERRA;ES;701;21672;247745;1267668;1.593.978,81;1.110,86;25;10;5;0;1.500.000,00;63.478.295,44
;;;;;;;;;;;;;;;;;;;ESTANCIA VELHA;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ARARAQUARA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ATIBAIA;SP;;;;;;;;;;;;
2211;20/04/2021;4;5;8;9;10;11;12;13;17;18;19;20;21;22;23;16.756.192,50;12;ARACI;BA;735;11366;113556;584232;105.712,98;516,98;25;10;5;0;1.500.000,00;63.785.204,09
;;;;;;;;;;;;;;;;;;;SALVADOR;BA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;APARECIDA DE GOIANIA;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SAO LUIS;MA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SABINOPOLIS;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PRIMAVERA DO LESTE;MT;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RONDONOPOLIS;MT;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CARUARU;PE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;OURO;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SAO PAULO;SP;;;;;;;;;;;;
2212;22/04/2021;1;4;5;6;7;8;10;11;12;13;17;18;20;21;22;18.821.762,50;2;CANAL ELETRONICO;--;256;10367;131981;635726;738.151,33;1.727,38;25;10;5;0;1.500.000,00;64.142.374,10
;;;;;;;;;;;;;;;;;;;PERUIBE;SP;;;;;;;;;;;;
2213;23/04/2021;3;4;5;6;7;8;10;16;17;18;19;20;22;24;25;18.424.470,00;0;;;186;5921;85678;550301;0;2.069,86;25;10;5;1.836.122,82;4.000.000,00;64.586.597,37
2214;24/04/2021;3;6;7;9;11;12;13;14;16;17;19;21;22;23;25;21.530.145,00;0;;;397;13160;151322;787661;0;1.163,38;25;10;5;3.378.034,91;7.000.000,00;64.959.640,63
2215;26/04/2021;2;3;4;6;7;9;11;13;15;17;18;19;23;24;25;36.498.742,50;11;RIO PRETO DA EVA;AM;1082;28002;289311;1391525;515.075,56;633,34;25;10;5;0;1.500.000,00;65.513.139,73
;;;;;;;;;;;;;;;;;;;GOIANIA;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MONTES CLAROS;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PATOS DE MINAS;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PARANAVAI;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SARANDI;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;FLORIANOPOLIS;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MOGI DAS CRUZES;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SUMARE;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;TABOAO DA SERRA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ARAGUAINA;TO;;;;;;;;;;;;
2216;27/04/2021;1;2;3;4;6;9;10;13;14;15;17;19;21;22;25;16.017.167,50;2;CANAL ELETRONICO;--;238;8612;103218;558450;630.105,53;1.586,06;25;10;5;0;1.500.000,00;65.818.029,51
;;;;;;;;;;;;;;;;;;;SAO PAULO;SP;;;;;;;;;;;;
2217;28/04/2021;1;6;7;9;10;11;14;15;16;18;19;20;22;23;25;17.469.595,00;1;CANAL ELETRONICO;--;188;7130;96117;558450;1.580.367,35;1.762,59;25;10;5;0;1.500.000,00;66.200.376,46
2218;29/04/2021;3;4;5;6;11;12;13;15;16;17;18;20;21;23;24;15.421.995,00;0;;;153;7022;95138;544180;0;1.687,73;25;10;5;1.231.520,50;3.500.000,00;66.498.324,98
2219;30/04/2021;2;5;6;7;8;10;13;15;16;17;19;20;22;24;25;25.839.937,50;3;CANAA DOS CARAJAS;PA;486;17888;183565;907917;1.044.027,90;1.171,38;25;10;5;2.319.895,41;4.000.000,00;66.958.138,67
;;;;;;;;;;;;;;;;;;;CAMPOS DOS GOYTACAZES;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PALMAS;TO;;;;;;;;;;;;
2220;03/05/2021;1;5;6;7;8;9;10;12;13;16;18;20;23;24;25;30.033.080,00;3;CANAL ELETRONICO;--;351;13902;186447;1063874;1.695.274,10;1.422,80;25;10;5;0;1.500.000,00;67.534.373,45
;;;;;;;;;;;;;;;;;;;CRATEUS;CE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SAO JOSE DO RIO PARDO;SP;;;;;;;;;;;;
2221;04/05/2021;1;2;3;4;5;8;9;10;12;13;16;18;20;22;23;16.781.395,00;1;BRUSQUE;SC;326;10696;129852;626667;1.117.758,21;1.027,03;25;10;5;0;1.500.000,00;67.804.798,83
2222;05/05/2021;2;4;5;6;7;8;9;10;12;13;14;19;22;23;24;18.941.582,50;1;CAMPINAS;SP;277;11408;134334;704431;1.328.248,76;1.436,32;25;10;5;0;1.500.000,00;68.126.149,34
2223;06/05/2021;1;4;5;7;8;9;11;12;14;18;20;21;22;24;25;17.246.120,00;0;;;297;9808;112349;584895;0;1.393,24;25;10;5;1.381.434,16;3.500.000,00;68.460.367,29
2224;07/05/2021;3;5;6;7;9;10;12;13;14;15;18;19;20;23;24;27.496.222,50;3;COTIA;SP;593;18625;213260;1077454;1.029.613,71;862,45;25;10;5;0;1.500.000,00;68.873.449,64
;;;;;;;;;;;;;;;;;;;SAO BERNARDO DO CAMPO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SAO PAULO;SP;;;;;;;;;;;;
2225;08/05/2021;2;3;4;7;8;9;10;11;13;17;19;21;22;23;25;16.176.002,50;0;;;322;12440;140869;676479;0;771,2;25;10;5;829.032,04;3.000.000,00;69.074.021,92
2226;10/05/2021;1;3;4;5;9;10;12;13;14;15;16;17;19;21;22;26.737.172,50;4;UNIAO DOS PALMARES;AL;352;12632;168662;918388;749.346,18;1.845,18;25;10;5;0;1.500.000,00;69.598.623,38
;;;;;;;;;;;;;;;;;;;ALAGOINHAS;BA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;FEIRA DE SANTANA;BA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MACAE;RJ;;;;;;;;;;;;
2227;11/05/2021;2;3;7;8;9;10;11;12;15;17;20;21;22;23;24;17.655.622,50;0;;;195;8005;105464;607532;0;1.568,60;25;10;5;1.458.798,71;3.500.000,00;69.951.558,56
2228;12/05/2021;1;4;5;6;7;11;12;13;16;17;18;19;20;22;23;25.969.027,50;2;CANAL ELETRONICO;--;350;11771;154202;850390;1.851.143,62;1.344,03;25;10;5;0;1.500.000,00;70.494.338,05
;;;;;;;;;;;;;;;;;;;CHAPECO;SC;;;;;;;;;;;;
2229;13/05/2021;1;2;3;4;7;8;9;10;14;17;19;20;23;24;25;16.422.575,00;1;MANAUS;AM;268;9172;120409;630961;1.098.450,21;1.227,71;25;10;5;2.150.479,05;4.000.000,00;70.760.092,14
2230;14/05/2021;3;4;6;8;9;10;11;13;14;15;17;18;19;20;24;28.795.880,00;2;FORTALEZA;CE;537;17555;214815;1071369;2.219.103,81;1.098,86;25;10;5;0;1.500.000,00;71.236.702,27
;;;;;;;;;;;;;;;;;;;SAO PAULO;SP;;;;;;;;;;;;
2231;15/05/2021;1;4;5;6;7;8;10;11;16;18;19;20;22;24;25;15.550.575,00;2;CANAL ELETRONICO;--;203;7862;88225;508033;677.519,41;1.399,61;25;10;5;0;1.500.000,00;71.564.534,25
;;;;;;;;;;;;;;;;;;;JACAREI;SP;;;;;;;;;;;;
2232;17/05/2021;2;4;5;6;8;9;12;13;14;19;20;22;23;24;25;18.788.620,00;5;CANAL ELETRONICO;--;517;15638;147294;720536;232.476,16;673,45;25;10;5;0;1.500.000,00;71.845.755,42
;;;;;;;;;;;;;;;;;;;CABO FRIO;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CHAPECO;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SAO PAULO;SP;;;;;;;;;;;;
2233;18/05/2021;1;2;6;7;8;9;10;12;13;14;15;16;20;21;25;16.021.932,50;0;;;138;5321;78708;502381;0;2.316,87;25;10;5;1.524.858,02;3.500.000,00;72.214.672,69
2234;19/05/2021;1;2;3;6;7;11;14;15;17;18;20;21;22;24;25;24.139.187,50;3;CONTAGEM;MG;290;10701;130836;742390;1.257.153,41;1.624,35;25;10;5;0;1.500.000,00;72.758.205,49
;;;;;;;;;;;;;;;;;;;CAMPINAS;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PENAPOLIS;SP;;;;;;;;;;;;
2235;20/05/2021;2;4;6;7;8;10;11;12;16;17;19;21;22;23;25;15.311.512,50;2;CANAL ELETRONICO;--;267;7851;92744;485200;670.058,17;1.503,43;25;10;5;0;1.500.000,00;73.082.427,20
;;;;;;;;;;;;;;;;;;;JANDIRA;SP;;;;;;;;;;;;
